timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,validation_process_count,validation_tree_rss_mib,docker_running_count
2026-09-17T13:31:42.488144+00:00,6.08,5.99,5.44,62117354,0,10,204.32,2
2026-09-17T13:31:43.632167+00:00,6.08,5.99,5.44,62121061,0,10,190.59,2
2026-09-17T13:31:44.757937+00:00,6.08,5.99,5.44,62120588,0,10,192.62,2
2026-09-17T13:31:45.918094+00:00,6.08,5.99,5.44,62115864,0,7,169.54,2
2026-09-17T13:31:47.070382+00:00,5.91,5.96,5.43,62094544,0,10,192.43,2
2026-09-17T13:31:48.225532+00:00,5.91,5.96,5.43,62071994,0,10,191.71,2
2026-09-17T13:31:49.367337+00:00,5.91,5.96,5.43,62114849,0,7,177.28,2
2026-09-17T13:31:50.431992+00:00,5.91,5.96,5.43,61955173,0,7,178.62,2
2026-09-17T13:31:51.495719+00:00,5.84,5.95,5.43,61882157,0,10,193.61,2
2026-09-17T13:31:52.591887+00:00,5.84,5.95,5.43,61909020,0,10,198.79,2
2026-09-17T13:31:53.677003+00:00,5.84,5.95,5.43,61931504,0,10,197.89,2
2026-09-17T13:31:54.786585+00:00,5.84,5.95,5.43,61987082,0,7,171.11,2
2026-09-17T13:31:55.928312+00:00,5.84,5.95,5.43,61974504,0,10,194.71,2
2026-09-17T13:31:57.048180+00:00,6.57,6.10,5.48,61857844,0,10,194.16,2
2026-09-17T13:31:58.193009+00:00,6.57,6.10,5.48,61820792,0,10,194.0,2
2026-09-17T13:31:59.326751+00:00,6.57,6.10,5.48,61856497,0,10,194.11,2
2026-09-17T13:32:00.390027+00:00,6.57,6.10,5.48,61976878,0,10,184.14,2
2026-09-17T13:32:01.534329+00:00,6.52,6.09,5.49,62042278,0,6,115.22,2
2026-09-17T13:32:02.682032+00:00,6.52,6.09,5.49,62028439,0,10,194.37,2
2026-09-17T13:32:03.826051+00:00,6.52,6.09,5.49,61960467,0,10,197.58,2
2026-09-17T13:32:04.972393+00:00,6.52,6.09,5.49,61983865,0,10,200.79,2
2026-09-17T13:32:06.140740+00:00,6.52,6.09,5.49,62029897,0,10,181.67,2
2026-09-17T13:32:07.301134+00:00,6.32,6.06,5.48,62058128,0,6,126.84,2
2026-09-17T13:32:08.452764+00:00,6.32,6.06,5.48,61968336,0,10,192.99,2
2026-09-17T13:32:09.602589+00:00,6.32,6.06,5.48,61979088,0,10,193.69,2
2026-09-17T13:32:10.762213+00:00,6.32,6.06,5.48,62024924,0,10,192.81,2
2026-09-17T13:32:11.912565+00:00,6.54,6.11,5.50,62029761,0,10,201.0,2
2026-09-17T13:32:13.062251+00:00,6.54,6.11,5.50,61973710,0,10,193.32,2
