timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,validation_process_count,validation_tree_rss_mib,docker_running_count
2026-09-17T12:41:26.280981+00:00,7.71,6.62,5.84,61694550,0,12,284.02,2
2026-09-17T12:41:31.392738+00:00,8.13,6.72,5.88,61628202,0,16,360.57,2
2026-09-17T12:41:36.590927+00:00,8.28,6.78,5.90,61837434,0,16,355.55,2
2026-09-17T12:41:41.810564+00:00,7.86,6.72,5.88,61824816,0,16,358.21,2
2026-09-17T12:41:47.015295+00:00,7.39,6.64,5.86,61788223,0,19,439.22,2
2026-09-17T12:41:52.241575+00:00,7.28,6.63,5.86,61875990,0,19,444.89,2
2026-09-17T12:41:57.406966+00:00,6.86,6.55,5.84,61868316,0,19,446.19,2
2026-09-17T12:42:02.520908+00:00,8.63,6.92,5.97,61729313,0,12,353.61,2
2026-09-17T12:42:07.755486+00:00,8.34,6.89,5.96,61759887,0,15,374.93,2
2026-09-17T12:42:12.987900+00:00,7.99,6.84,5.95,61786535,0,19,433.59,2
2026-09-17T12:42:18.146123+00:00,7.59,6.78,5.94,61904041,0,6,215.47,2
2026-09-17T12:42:23.316565+00:00,7.22,6.71,5.92,61870062,0,9,241.95,2
2026-09-17T12:42:28.475885+00:00,6.72,6.62,5.89,61878285,0,9,243.83,2
2026-09-17T12:42:33.637796+00:00,6.35,6.54,5.87,61727061,0,6,219.41,2
2026-09-17T12:42:38.799714+00:00,6.08,6.48,5.86,61857413,0,9,253.61,2
2026-09-17T12:42:43.952903+00:00,5.83,6.42,5.84,61878527,0,9,251.68,2
2026-09-17T12:42:49.128157+00:00,5.92,6.43,5.85,61935005,0,5,149.01,2
2026-09-17T12:42:54.316537+00:00,5.77,6.39,5.84,61884776,0,9,240.63,2
2026-09-17T12:42:59.476885+00:00,5.63,6.35,5.83,61918362,0,4,99.52,2
2026-09-17T12:43:04.576342+00:00,5.50,6.31,5.82,61887638,0,6,228.32,2
2026-09-17T12:43:09.727967+00:00,5.38,6.28,5.81,61940174,0,5,151.36,2
2026-09-17T12:43:14.844532+00:00,5.43,6.27,5.81,61856824,0,6,174.79,2
2026-09-17T12:43:20.005241+00:00,5.07,6.18,5.78,61951972,0,9,244.18,2
2026-09-17T12:43:25.175382+00:00,4.83,6.11,5.76,61957517,0,9,247.75,2
2026-09-17T12:43:30.274118+00:00,4.92,6.11,5.76,61950568,0,9,253.16,2
2026-09-17T12:43:35.444867+00:00,5.25,6.16,5.78,61884499,0,9,242.58,2
2026-09-17T12:43:40.539017+00:00,5.47,6.19,5.79,61906080,0,6,220.48,2
2026-09-17T12:43:45.638585+00:00,5.19,6.12,5.77,61797428,0,6,214.26,2
2026-09-17T12:43:50.836086+00:00,5.01,6.07,5.76,61883984,0,9,239.88,2
2026-09-17T12:43:56.005407+00:00,5.50,6.13,5.78,61885062,0,9,240.36,2
2026-09-17T12:44:01.102035+00:00,5.54,6.13,5.78,61897764,0,6,224.59,2
2026-09-17T12:44:06.264602+00:00,5.26,6.06,5.76,61975096,0,9,245.19,2
2026-09-17T12:44:11.341261+00:00,5.08,6.01,5.75,62026366,0,5,150.45,2
2026-09-17T12:44:16.448269+00:00,4.83,5.94,5.73,61857689,0,5,137.29,2
2026-09-17T12:44:21.623637+00:00,4.68,5.89,5.71,61786756,0,6,173.25,2
